
********************************************************************************************************************************************
VSUMM1_CUS		Evaluation date: 19-37-53_19-12-2017
	-distance	=	120
	-users_csv	=	../user_summaries/VSUMM
	-users	=	5
	-format	=	.jpg
	-epsilon	=	0.5
	-vsum_csv	=	../auto_summaries/VSUMM1
	-label	=	VSUMM1_CUS
	-video	=	../videos/VSUMM
	-group	=	1
	-method	=	1
********************************************************************************************************************************************
			users path					data path				CUSa		CUSe		precision	recall		F-meter		Cohen's Kappaaa
1.00000		0.37460		0.76000		1.00000		0.86364		0.85386
0.76333		0.22333		0.80000		0.76333		0.78124		0.77498
0.80333		0.38333		0.75000		0.80333		0.77575		0.75267
0.92201		0.33333		0.78182		0.92201		0.84615		0.83126
1.00000		0.13333		0.90000		1.00000		0.94737		0.94278
0.90667		0.51833		0.68889		0.90667		0.78292		0.76736
0.88000		0.97357		0.49333		0.88000		0.63223		0.62096
0.89733		0.11475		0.89231		0.89733		0.89481		0.89167
0.89549		0.45152		0.72727		0.89549		0.80266		0.78327
0.96667		0.37548		0.75556		0.96667		0.84817		0.83909
0.75586		0.49525		0.69091		0.75586		0.72193		0.70760
0.95556		0.47556		0.77500		0.95556		0.85586		0.82722
0.89491		0.57532		0.63636		0.89491		0.74381		0.73489
0.81195		0.19440		0.84211		0.81195		0.82675		0.81876
1.00000		4.00000		0.20000		1.00000		0.33333		0.33301
0.84667		1.20667		0.41818		0.84667		0.55985		0.55807
0.87613		0.33178		0.77500		0.87613		0.82247		0.80668
0.79714		0.29214		0.74667		0.79714		0.77108		0.76477
0.86667		0.33333		0.73333		0.86667		0.79444		0.79139
0.87364		0.40818		0.74000		0.87364		0.80128		0.77770
0.76508		0.10159		0.88571		0.76508		0.82099		0.81734
0.91786		0.12381		0.88571		0.91786		0.90150		0.89857
0.98182		0.29922		0.78333		0.98182		0.87142		0.86609
0.60956		0.21329		0.74000		0.60956		0.66847		0.66575
0.70990		1.42949		0.36000		0.70990		0.47773		0.46482
0.77061		0.06818		0.92500		0.77061		0.84077		0.83433
0.90000		0.00000		1.00000		0.90000		0.94737		0.94725
0.90556		0.02500		0.97143		0.90556		0.93734		0.93482
0.93500		0.15000		0.88889		0.93500		0.91136		0.90344
0.93590		0.45577		0.72308		0.93590		0.81584		0.79927
0.76556		0.65667		0.60000		0.76556		0.67274		0.65806
0.81099		0.45894		0.67143		0.81099		0.73464		0.72340
0.80794		0.33095		0.74286		0.80794		0.77403		0.75937
1.00000		0.53000		0.71429		1.00000		0.83333		0.81634
0.88778		0.34667		0.76364		0.88778		0.82104		0.81109
0.82833		0.88333		0.50769		0.82833		0.62954		0.62089
0.86526		0.25556		0.83636		0.86526		0.85057		0.83111
0.88000		0.04000		0.95000		0.88000		0.91366		0.91091
0.83333		0.41667		0.68000		0.83333		0.74890		0.73927
1.00000		0.00000		1.00000		1.00000		1.00000		1.00000
0.84689		0.05205		0.94545		0.84689		0.89346		0.89014
0.86071		0.19429		0.82857		0.86071		0.84434		0.83867
0.71000		0.34000		0.68000		0.71000		0.69468		0.69227
0.95278		0.05357		0.95000		0.95278		0.95139		0.94979
0.88929		0.36429		0.71111		0.88929		0.79028		0.78898
0.98000		0.38802		0.72727		0.98000		0.83493		0.83022
0.69286		0.42024		0.72941		0.69286		0.71066		0.68380
0.95278		0.21167		0.85000		0.95278		0.89846		0.88835
0.82619		0.29762		0.75000		0.82619		0.78625		0.78374
